id;Watched date;Name;Year;Genre;Runtime;Female directed;Country;Rewatch?;Like?;Rating;Mean rating;Total likes;Total reviews
37;25/7/23;Barbie;2023;Comedy;110;True;USA;False;False;5;3,9;1520735;879443
37;25/7/23;Barbie;2023;Adventure;110;True;UK;False;False;5;3,9;1520735;879443
37;25/7/23;Barbie;2023;Adventure;110;True;USA;False;False;5;3,9;1520735;879443
38;23/8/23;The Other Woman;2014;Comedy;109;False;USA;True;False;5;2,9;24970;14293
38;23/8/23;The Other Woman;2014;Romance;109;False;USA;True;False;5;2,9;24970;14293
39;19/9/23;Red, White & Royal Blue;2023;Comedy;118;False;USA;False;False;3,5;3,1;119339;138201
39;19/9/23;Red, White & Royal Blue;2023;Romance;118;False;USA;False;False;3,5;3,1;119339;138201
40;19/9/23;The Nun II;2023;Mystery;105;False;USA;False;False;5;2,3;30545;66112
40;19/9/23;The Nun II;2023;Horror;105;False;USA;False;False;5;2,3;30545;66112
41;19/10/23;The Help;2011;Drama;146;False;India;True;False;5;3,8;144727;27270
41;19/10/23;The Help;2011;Drama;146;False;United Arab Emirates;True;False;5;3,8;144727;27270
41;19/10/23;The Help;2011;Drama;146;False;USA;True;False;5;3,8;144727;27270
42;20/10/23;Girl, Interrupted;1999;Drama;127;False;USA;False;False;4;3,9;317059;106313
43;28/10/23;No Hard Feelings;2023;Comedy;103;False;USA;False;False;4;3,1;201200;214801
43;28/10/23;No Hard Feelings;2023;Romance;103;False;USA;False;False;4;3,1;201200;214801
44;26/1/24;Poor Things;2023;Romance;141;False;Ireland;False;False;5;4,1;641212;507130
44;26/1/24;Poor Things;2023;Romance;141;False;UK;False;False;5;4,1;641212;507130
44;26/1/24;Poor Things;2023;Romance;141;False;USA;False;False;5;4,1;641212;507130
44;26/1/24;Poor Things;2023;Science Fiction;141;False;Ireland;False;False;5;4,1;641212;507130
44;26/1/24;Poor Things;2023;Science Fiction;141;False;UK;False;False;5;4,1;641212;507130
